Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
91,91,Jul 7,,MIA,W4-3,38,32,4,9,1,0,1,4,6,1,10,0,0,0,0,1,1,0,0.263,0.337,0.463,0.800,10,13,R,T.Richards(39)
92,92,Jul 12,@,SDP,W5-3,35,32,5,8,1,0,3,5,3,0,9,0,0,0,0,3,0,0,0.263,0.337,0.464,0.801,3,13,R,D.Lamet(46)
93,93,Jul 13,@,SDP,W7-5,46,40,7,11,1,0,2,7,5,0,10,0,0,1,0,0,1,0,0.263,0.337,0.464,0.801,9,16,L,J.Lucchesi(55)
94,94,Jul 14,@,SDP,W4-1,38,35,4,7,0,0,1,4,2,0,8,1,0,0,2,1,2,0,0.262,0.336,0.462,0.798,7,15,R,C.Quantrill(68)
95,95,Jul 15,@,MIL,W4-2,38,35,4,9,1,0,1,4,3,0,7,0,0,0,0,0,0,0,0.262,0.336,0.461,0.797,7,15,R,A.Houser(42)
96,96,Jul 16,@,MIL,L1-13,34,32,1,5,0,0,1,1,2,0,9,0,0,0,0,0,2,0,0.261,0.335,0.459,0.794,6,15,R,B.Woodruff(65)
97,97,Jul 17,@,MIL,L4-5,41,34,4,6,2,0,1,4,7,0,8,0,0,0,0,0,1,0,0.261,0.335,0.458,0.792,10,14,R,C.Anderson(67)
98,98,Jul 18,,WSN,L4-13,38,36,4,10,2,1,1,4,2,0,14,0,0,0,0,0,1,0,0.261,0.335,0.458,0.792,7,17,R,S.Strasburg(45)
99,99,Jul 19,,WSN,W4-3,40,34,4,12,4,0,0,4,6,1,8,0,0,0,0,0,1,2,0.262,0.336,0.458,0.794,12,16,L,P.Corbin(46)
100,100,Jul 20,,WSN,L3-5,40,35,3,8,0,0,1,3,4,0,9,1,0,0,1,0,5,0,0.261,0.336,0.456,0.792,10,17,R,A.Sanchez(44)
101,101,Jul 21,,WSN,W7-1,39,33,7,11,1,0,2,7,6,0,11,0,0,0,0,1,1,0,0.262,0.337,0.457,0.794,8,12,R,J.Ross(44)
102,102,Jul 23,,KCR,L4-5,43,38,4,11,3,0,0,4,2,0,14,3,0,0,0,0,1,0,0.262,0.337,0.456,0.793,12,16,L,D.Duffy(68)
103,103,Jul 24,,KCR,L0-2,32,31,0,5,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.261,0.336,0.454,0.790,5,13,R,B.Keller(71)
104,104,Jul 26,@,PHI,W9-2,40,31,9,8,2,0,1,9,6,0,6,1,1,1,1,1,1,1,0.261,0.336,0.453,0.790,4,15,R,J.Arrieta(40)
105,105,Jul 27,@,PHI,W15-7,50,43,15,16,3,0,4,15,7,0,15,0,0,0,1,0,0,0,0.263,0.338,0.457,0.794,8,13,R,Z.Eflin(9)
