{\rtf1\ansi\ansicpg1252\cocoartf2513
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)\
23,23,Apr 24,@,CIN,W3-1,42,33,3,8,1,0,1,2,7,1,4,1,1,0,0,1,0,0,.267,.359,.453,.811,12,14,R,T.Roark(50)\
24,24,Apr 25,@,CIN,L2-4,37,36,2,11,1,0,1,2,1,0,7,0,0,0,0,1,0,0,.268,.357,.451,.808,8,12,R,L.Castillo(58)\
25,25,Apr 26,,COL,L4-8,39,35,4,10,2,0,2,4,3,0,7,1,0,0,0,1,0,0,.269,.358,.454,.811,8,16,R,A.Senzatela(44)\
26,26,Apr 27,,COL,L5-9,38,34,5,9,3,0,2,5,4,0,6,0,0,0,0,1,1,0,.269,.357,.456,.813,6,13,R,J.Gray(29)\
27,27,Apr 28,,COL,W8-7,41,34,8,10,2,1,4,8,6,0,10,0,0,1,1,0,0,0,.270,.358,.468,.826,9,17,L,T.Anderson(41)\
28,28,Apr 29,,SDP,W3-1,36,32,3,6,0,0,1,2,4,0,3,0,0,0,1,0,0,0,.267,.356,.462,.817,9,15,L,N.Margevicius(53)\
29,29,Apr 30,,SDP,L3-4,36,34,3,8,1,0,0,3,1,0,9,1,0,0,0,0,0,1,.266,.353,.455,.808,6,14,R,C.Paddack(60)\
30,30,May 1,,SDP,W5-1,34,31,5,8,4,1,1,5,2,0,4,0,0,1,0,1,0,0,.266,.351,.458,.809,5,14,R,C.Quantrill(51)\
31,31,May 2,,SDP,L2-11,37,36,2,10,0,0,0,2,1,0,7,0,0,0,0,0,0,0,.266,.350,.452,.801,8,16,L,M.Strahm(54)\
32,32,May 3,@,MIA,W7-2,40,34,7,10,1,0,2,7,4,1,7,0,1,1,0,1,0,0,.267,.350,.453,.803,6,15,R,J.Urena(41)\
33,33,May 4,@,MIA,W9-2,47,41,9,12,2,0,1,9,6,1,6,0,0,0,2,0,0,0,.268,.351,.452,.803,11,13,R,T.Richards(59)\
34,34,May 5,@,MIA,W3-1,39,34,3,6,2,0,1,3,4,0,9,0,0,1,0,1,0,0,.265,.348,.448,.796,6,16,R,P.Lopez(71)\
35,35,May 6,@,LAD,L3-5,32,32,3,5,0,0,2,3,0,0,10,0,0,0,0,0,2,0,.262,.344,.445,.789,2,14,R,W.Buehler(63)\
36,36,May 7,@,LAD,L0-9,30,30,0,4,1,0,0,0,0,0,6,0,0,0,0,1,0,0,.259,.339,.438,.778,3,15,L,H.Ryu(85)\
37,37,May 8,@,LAD,L4-9,38,37,4,11,2,0,1,4,1,0,7,0,0,0,0,1,1,0,.260,.339,.438,.777,7,13,L,C.Kershaw(43)\
38,38,May 9,@,ARI,L2-3,37,33,2,5,2,0,1,2,2,0,9,2,0,0,0,1,0,0,.258,.336,.435,.771,5,16,R,L.Weaver(71)\
39,39,May 10,@,ARI,W2-1,33,32,2,7,1,1,1,2,1,0,8,0,0,0,0,0,0,1,.257,.334,.434,.768,4,13,R,Z.Greinke(70)\
40,40,May 11,@,ARI,W6-4,39,38,6,13,1,1,2,6,1,0,6,0,0,0,0,1,0,1,.259,.335,.438,.773,6,14,R,M.Kelly(54)\
41,41,May 12,@,ARI,W5-3,39,37,5,12,0,2,0,5,1,0,7,1,0,0,0,1,0,0,.261,.335,.438,.773,7,15,R,Z.Godley(46)\
42,42,May 14,,STL,L3-14,35,27,3,3,0,0,0,3,6,0,11,0,1,1,0,1,0,0,.258,.334,.432,.766,5,15,R,J.Flaherty(55)\
43,43,May 15,,STL,W4-0,34,30,4,6,1,0,2,3,4,0,10,0,0,0,0,0,2,0,.257,.333,.432,.765,6,13,R,M.Wacha(53)\
44,44,May 16,,STL,W10-2,42,34,10,14,2,0,1,10,6,2,4,0,1,1,0,1,0,0,.260,.337,.435,.772,8,14,R,A.Wainwright(29)\
45,45,May 17,,MIL,W12-8,47,39,12,17,3,0,4,12,5,0,7,1,1,1,1,1,0,0,.265,.341,.444,.786,11,16,R,J.Chacin(41)\
46,46,May 18,,MIL,W4-3,39,33,4,8,2,0,2,4,5,0,8,0,0,1,1,0,0,0,.264,.341,.445,.786,8,16,R,C.Anderson(55)\
47,47,May 19,,MIL,L2-3,34,34,2,5,0,0,2,2,0,0,9,0,0,0,0,1,0,0,.262,.337,.443,.780,2,15,R,B.Woodruff(70)\
48,48,May 20,@,SFG,W4-1,38,32,4,6,1,0,3,4,6,0,7,0,0,0,1,0,0,1,.260,.337,.444,.781,7,12,L,A.Suarez(53)\
49,49,May 21,@,SFG,L3-4,39,35,3,11,1,0,0,3,3,0,5,0,0,1,0,1,1,1,.261,.337,.442,.779,9,16,R,S.Anderson(46)\
50,50,May 22,@,SFG,W9-2,41,36,9,7,0,0,3,8,4,0,10,1,0,0,1,0,0,0,.260,.336,.442,.778,5,13,R,J.Samardzija(57)\
51,51,May 23,@,SFG,W5-4,52,49,5,11,0,0,2,5,3,0,16,0,0,0,0,1,1,0,.259,.335,.439,.774,8,17,L,M.Bumgarner(56)\
52,52,May 24,@,STL,W5-2,37,37,5,12,1,0,3,4,0,0,11,0,0,0,0,2,0,0,.260,.334,.442,.777,5,14,R,M.Mikolas(60)\
53,53,May 25,@,STL,L3-6,35,31,3,7,4,0,0,3,4,1,2,0,0,0,0,2,0,0,.260,.334,.441,.775,5,12,R,D.Hudson(55)\
54,54,May 26,@,STL,W4-3,44,37,4,9,1,0,0,4,6,1,13,1,0,0,0,1,0,0,.259,.335,.437,.772,10,15,R,J.Flaherty(73)\
55,55,May 28,,WSN,L4-5,39,34,4,8,1,0,1,4,3,1,16,1,0,1,0,0,1,0,.259,.334,.436,.770,8,16,R,S.Strasburg(68)\
56,56,May 29,,WSN,L4-14,34,33,4,6,0,0,1,4,1,0,13,0,0,0,0,0,0,0,.258,.332,.433,.765,3,19,R,A.Sanchez(76)\
57,57,May 31,,DET,L2-8,33,31,2,7,0,0,0,2,1,0,4,0,0,1,0,2,2,0,.257,.331,.430,.761,4,15,R,S.Turnbull(57)\
58,58,Jun 1,,DET,W10-5,38,36,10,11,2,1,3,10,1,0,8,0,1,0,2,0,0,0,.258,.331,.434,.765,4,14,L,D.Norris(37)\
59,59,Jun 2,,DET,W7-4,35,32,7,7,4,1,1,6,2,0,13,0,0,1,1,0,0,0,.257,.330,.435,.765,4,18,L,M.Boyd(54)\
60,60,Jun 4,@,PIT,W12-5,49,41,12,13,4,0,3,11,7,0,5,1,0,0,2,1,2,0,.259,.332,.439,.771,10,17,L,S.Brault(46)\
61,61,Jun 5,@,PIT,L4-7,34,32,4,6,3,0,2,4,2,0,8,0,0,0,0,1,0,0,.258,.330,.440,.770,3,13,R,J.Musgrove(65)\
62,62,Jun 6,@,PIT,L1-6,38,33,1,7,1,0,1,1,4,0,8,0,1,0,1,1,1,0,.257,.330,.438,.768,10,15,R,C.Archer(60)\
63,63,Jun 7,@,MIA,W7-1,44,39,7,14,2,0,2,7,4,0,8,0,1,0,0,1,0,0,.259,.331,.440,.772,10,10,R,J.Urena(14)\
64,64,Jun 8,@,MIA,W1-0,33,27,1,3,1,0,0,1,3,0,6,2,0,1,0,2,0,0,.257,.330,.437,.767,5,14,R,T.Richards(71)\
65,65,Jun 9,@,MIA,W7-6,55,46,7,10,5,1,1,6,9,1,13,0,0,0,0,0,0,0,.256,.331,.437,.767,12,20,R,P.Lopez(66)\
66,66,Jun 10,,PIT,W13-7,43,37,13,13,2,0,5,13,4,0,10,2,0,0,0,0,0,1,.258,.332,.443,.775,6,16,R,J.Musgrove(51)\
67,67,Jun 11,,PIT,W7-5,36,33,7,10,1,0,5,7,3,0,11,0,0,0,0,0,1,1,.258,.333,.448,.780,5,15,R,C.Archer(34)\
68,68,Jun 12,,PIT,W8-7,52,43,8,15,4,1,1,8,7,1,8,2,0,0,1,1,1,1,.260,.335,.450,.785,14,17,R,M.Keller(15)\
69,69,Jun 13,,PIT,W6-5,39,34,6,10,2,1,0,6,3,0,6,2,0,0,0,0,0,0,.260,.336,.449,.785,9,15,R,J.Musgrove(21)\
70,70,Jun 14,,PHI,W9-8,43,38,9,14,2,1,3,9,4,0,9,0,1,0,0,0,0,1,.262,.337,.453,.791,8,14,R,N.Pivetta(46)\
71,71,Jun 15,,PHI,L5-6,39,35,5,8,2,0,2,5,3,1,9,1,0,0,0,0,0,0,.262,.337,.453,.790,7,16,R,A.Nola(33)\
72,72,Jun 16,,PHI,W15-1,46,40,15,19,5,0,3,14,2,1,10,2,1,1,0,1,0,0,.265,.340,.459,.799,7,13,R,V.Velasquez(37)\
73,73,Jun 17,,NYM,W12-3,47,40,12,16,0,0,3,11,7,0,5,0,0,0,1,1,0,0,.267,.342,.462,.804,11,15,R,Z.Wheeler(36)\
74,74,Jun 18,,NYM,L2-10,33,32,2,5,1,0,2,2,0,0,12,1,0,0,0,0,0,0,.266,.340,.461,.801,4,15,R,J.deGrom(75)\
75,75,Jun 19,,NYM,W7-2,37,32,7,9,3,0,2,7,5,0,5,0,0,0,0,1,0,0,.266,.341,.462,.803,6,14,L,S.Matz(33)\
76,76,Jun 21,@,WSN,L3-4,38,34,3,8,2,0,1,3,4,0,7,0,0,0,0,1,0,0,.266,.341,.461,.802,8,14,R,S.Strasburg(52)\
77,77,Jun 22,@,WSN,W13-9,47,41,13,14,4,0,2,13,6,0,9,0,0,0,0,0,1,0,.267,.342,.463,.805,7,19,R,A.Sanchez(49)\
78,78,Jun 23,@,WSN,W4-3,39,36,4,7,1,0,3,4,2,0,9,1,0,0,0,1,0,0,.266,.341,.463,.804,5,17,R,A.Voth(63)\
79,79,Jun 24,@,CHC,L3-8,35,35,3,8,1,0,1,3,0,0,11,0,0,0,0,1,1,0,.265,.340,.461,.801,5,12,L,J.Lester(65)\
