"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Chi Chi Gonzalez","Rockies","1","5","0","12","12","58.0","5.90","4.81","1.55",".261","71.6%","42.9%","17.2%","5.43","5.80","5.55","0.2","14663"
"Noe Ramirez","Angels","0","2","0","7","7","8.1","10.80","3.24","1.08",".286","46.5%","45.5%","11.1%","6.48","3.45","4.04","0.2","12800"
"Travis Lakins","Red Sox","0","0","0","3","3","5.2","9.53","3.18","0.00",".154","100.0%","46.2%","0.0%","0.00","2.16","3.91","0.2","18600"
"Jon Duplantier","Diamondbacks","0","1","0","3","3","13.0","8.31","2.77","1.38",".359","64.0%","35.0%","12.5%","6.23","4.29","4.74","0.2","19546"
"Tyler Beede","Giants","5","9","0","22","22","112.2","8.47","3.20","1.76",".302","73.0%","44.2%","19.1%","5.03","5.07","4.56","0.2","16981"
"Patrick Sandoval","Angels","0","4","0","9","9","34.1","8.91","4.46","1.57",".286","72.1%","44.7%","22.2%","5.24","5.08","4.37","0.2","19447"
"Pedro Avila","Padres","0","0","0","1","1","5.1","8.44","3.38","0.00",".267","85.7%","40.0%","0.0%","1.69","3.03","5.26","0.2","18864"
"Collin McHugh","Astros","3","4","0","8","8","41.0","9.22","3.07","1.98",".252","56.9%","39.1%","21.4%","6.37","5.26","4.45","0.2","7531"
"Cole Irvin","Phillies","2","1","0","3","3","17.2","6.62","2.55","1.53",".259","58.5%","32.1%","13.6%","5.60","4.97","5.24","0.2","19244"
"Drew Smyly","- - -","4","6","0","21","21","98.0","9.64","4.13","2.30",".311","74.4%","35.8%","21.4%","5.69","5.83","4.88","0.1","11760"
"Felix Pena","Angels","0","2","0","7","7","28.2","7.53","3.45","1.57",".250","57.6%","36.9%","14.7%","5.34","5.38","5.47","0.1","13403"
"Adrian Sampson","Rangers","3","7","0","15","15","78.2","7.67","2.17","2.52",".342","71.6%","40.8%","21.2%","6.41","6.10","5.09","0.1","13339"
"Josh Tomlin","Braves","0","0","0","1","1","3.0","9.00","0.00","0.00",".400","75.0%","30.0%","0.0%","3.00","1.21","3.87","0.1","9388"
"Brian Johnson","Red Sox","0","2","0","7","7","23.0","5.87","4.30","1.17",".367","72.2%","43.8%","9.4%","5.09","5.04","6.11","0.1","14272"
"Clay Buchholz","Blue Jays","2","5","0","12","12","59.0","5.95","2.44","1.98",".319","63.6%","44.9%","18.1%","6.56","5.62","5.18","0.1","3543"
"Buck Farmer","Tigers","0","0","0","1","1","2.0","18.00","4.50","0.00",".500","66.7%","25.0%","0.0%","4.50","0.71","1.71","0.1","14814"
"Kyle Freeland","Rockies","3","11","0","22","22","104.1","6.81","3.36","2.16",".308","62.1%","46.6%","21.7%","6.73","5.99","5.07","0.1","16256"
"Zack Godley","Diamondbacks","1","5","0","9","9","39.0","6.92","5.08","1.15",".362","58.0%","42.4%","11.1%","8.08","5.19","5.82","0.1","14862"
"Jose Leclerc","Rangers","0","0","0","3","3","3.2","9.82","4.91","0.00",".364","83.3%","63.6%","0.0%","2.45","2.67","3.75","0.1","14524"
"Nathan Karns","Orioles","0","1","0","2","2","4.0","11.25","6.75","0.00",".444","85.7%","66.7%","0.0%","0.00","2.96","3.96","0.1","12638"
"Jordan Montgomery","Yankees","0","0","0","1","1","2.0","13.50","0.00","0.00",".500","100.0%","33.3%","0.0%","0.00","0.21","1.21","0.1","16511"
"Matt Grace","Nationals","0","0","0","1","1","2.0","13.50","0.00","0.00",".000","100.0%","33.3%","0.0%","0.00","0.21","2.20","0.1","11449"
"Chris Devenski","Astros","0","1","0","1","1","2.0","0.00","0.00","0.00",".455","40.0%","45.5%","0.0%","4.50","3.21","6.20","0.1","12763"
"Hunter Wood","Rays","0","1","0","2","2","4.0","9.00","4.50","0.00",".333","83.3%","36.4%","0.0%","0.00","2.71","4.70","0.1","15091"
"Jonathan Holder","Yankees","0","0","0","1","1","2.2","6.75","0.00","0.00",".333","33.3%","66.7%","0.0%","6.75","1.71","3.21","0.1","16588"
"Cam Bedrosian","Angels","0","1","0","7","7","7.0","10.29","3.86","1.29",".188","89.3%","47.1%","25.0%","2.57","4.07","3.35","0.1","13360"
"Luke Bard","Angels","0","0","0","3","3","3.0","9.00","0.00","0.00",".333","75.0%","55.6%","0.0%","3.00","2.21","4.20","0.1","14288"
"Michel Baez","Padres","0","0","0","1","1","2.0","18.00","4.50","0.00",".000","100.0%","100.0%","0.0%","0.00","0.71","0.71","0.1","20100"
"T.J. Zeuch","Blue Jays","0","2","0","3","3","13.1","7.43","4.05","1.35",".300","69.8%","45.2%","16.7%","5.40","4.86","4.70","0.1","19269"
"Walker Lockett","Mets","1","1","0","4","4","17.1","6.75","2.60","1.56",".364","56.5%","42.1%","17.6%","7.79","5.00","4.70","0.1","13804"
"Bobby Poyner","Red Sox","0","0","0","1","1","2.0","9.00","0.00","0.00",".000","100.0%","0.0%","0.0%","0.00","1.21","4.20","0.1","17987"
"Peter Lambert","Rockies","3","7","0","19","19","89.1","5.74","3.63","1.81",".333","64.1%","47.3%","20.7%","7.25","5.97","5.29","0.1","17969"
"Hector Velazquez","Red Sox","1","3","0","8","8","22.0","6.55","5.32","1.23",".286","58.4%","32.3%","10.0%","6.95","5.44","6.38","0.1","19341"
"Adrian Morejon","Padres","0","0","0","2","2","4.0","6.75","6.75","0.00",".357","62.5%","21.4%","0.0%","6.75","3.96","6.45","0.1","20039"
"Darwinzon Hernandez","Red Sox","0","1","0","1","1","3.0","21.00","15.00","0.00",".500","50.0%","0.0%","0.0%","9.00","3.55","5.54","0.1","19848"
"Robbie Erlin","Padres","0","1","0","1","1","2.0","9.00","4.50","0.00",".429","75.0%","42.9%","0.0%","4.50","2.71","5.70","0.1","10354"
"Luis Perdomo","Padres","0","0","0","1","1","3.1","0.00","0.00","0.00",".167","50.0%","45.5%","0.0%","0.00","3.21","6.79","0.1","14682"
"Erick Fedde","Nationals","4","2","0","12","12","60.1","4.62","3.73","1.49",".301","80.5%","50.3%","18.5%","4.48","5.68","5.31","0.1","17425"
"Justin Dunn","Mariners","0","0","0","4","4","6.2","6.75","12.15","0.00",".125","81.8%","43.8%","0.0%","2.70","5.76","8.15","0.1","19268"
"Nestor Cortes","Yankees","0","0","0","1","1","2.1","7.71","3.86","0.00",".600","42.9%","40.0%","0.0%","7.71","2.79","5.34","0.1","17874"
"Jose Ruiz","White Sox","0","0","0","1","1","1.2","5.40","0.00","0.00",".429","100.0%","71.4%","0.0%","0.00","2.01","4.40","0.1","14552"
"Tyler Clippard","Indians","0","0","0","3","3","5.1","8.44","0.00","1.69",".214","0.0%","13.3%","9.1%","8.44","4.34","6.00","0.1","5640"
"Hector Santiago","White Sox","0","1","0","2","2","9.1","8.68","4.82","1.93",".321","68.2%","33.3%","15.4%","5.79","5.68","5.66","0.1","4026"
"Sean Reid-Foley","Blue Jays","2","3","0","6","6","24.2","7.30","5.84","1.09",".299","72.9%","43.8%","8.8%","3.65","5.36","6.52","0.1","17034"
"Diego Castillo","Rays","0","1","0","6","6","7.1","8.59","0.00","2.45",".360","61.0%","66.7%","33.3%","6.14","4.85","2.93","0.1","17496"
"Luke Farrell","Rangers","0","0","0","1","1","2.0","0.00","0.00","0.00",".143","0.0%","28.6%","0.0%","4.50","3.21","8.19","0.1","15101"
"Ryan Weber","Red Sox","1","1","0","3","3","11.1","5.56","1.59","1.59",".350","58.1%","45.2%","13.3%","7.94","5.33","5.67","0.1","10160"
"Jonathan Hernandez","Rangers","0","1","0","2","2","5.1","11.81","6.75","1.69",".214","30.3%","53.3%","20.0%","6.75","5.28","4.70","0.1","17464"
"Brian Flynn","Royals","0","1","0","1","1","2.0","13.50","0.00","0.00",".727","30.0%","40.0%","0.0%","31.50","3.21","3.21","0.0","12027"
"Hansel Robles","Angels","0","0","0","1","1","1.0","9.00","0.00","0.00",".000","100.0%","50.0%","0.0%","0.00","1.21","1.21","0.0","11801"
"Daniel Hudson","Blue Jays","0","0","0","1","1","1.0","9.00","0.00","0.00",".500","50.0%","50.0%","0.0%","9.00","1.21","3.20","0.0","7146"
"Joshua James","Astros","0","0","0","1","1","1.0","9.00","0.00","0.00",".000","100.0%","50.0%","0.0%","0.00","1.21","3.20","0.0","16794"
"Taijuan Walker","Diamondbacks","0","0","0","1","1","1.0","9.00","0.00","0.00",".333","100.0%","33.3%","0.0%","0.00","1.21","5.19","0.0","11836"
"Ryan Burr","White Sox","0","1","0","1","1","2.0","4.50","4.50","0.00",".167","50.0%","50.0%","0.0%","0.00","3.71","4.71","0.0","17536"
"Chad Bettis","Rockies","0","2","0","3","3","13.1","6.08","5.40","1.35",".400","55.6%","65.2%","20.0%","8.78","5.61","5.16","0.0","10587"
"Nick Pivetta","Phillies","4","4","0","13","13","69.0","7.57","3.26","2.09",".302","71.4%","41.2%","22.5%","5.74","5.72","4.75","0.0","15454"
"Casey Sadler","Dodgers","0","0","0","1","1","0.2","13.50","0.00","0.00",".333","0.0%","100.0%","0.0%","0.00","0.21","0.21","0.0","11209"
"Archie Bradley","Diamondbacks","0","1","0","1","1","1.1","13.50","13.50","0.00",".714","42.9%","28.6%","0.0%","27.00","4.71","6.21","0.0","12918"
"Sam Tuivailala","Mariners","0","0","0","2","2","2.0","4.50","9.00","0.00",".000","100.0%","20.0%","0.0%","0.00","5.21","9.19","0.0","13485"
"Liam Hendriks","Athletics","0","0","0","2","2","2.0","9.00","9.00","0.00",".500","60.0%","16.7%","0.0%","9.00","4.21","6.20","0.0","3548"
"Jonathan Loaisiga","Yankees","0","2","0","4","4","12.0","10.50","5.25","2.25",".353","73.0%","32.4%","20.0%","6.75","5.88","5.12","0.0","19753"
"Neil Ramirez","Blue Jays","0","0","0","1","1","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","0.00","3.21","5.20","0.0","7677"
"Michael Wacha","Cardinals","5","7","0","24","24","114.0","7.26","4.03","1.74",".304","78.1%","47.7%","21.0%","4.66","5.53","4.85","0.0","14078"
"Chris Stratton","Angels","0","2","0","5","5","23.0","6.65","5.48","1.57",".368","69.3%","44.3%","17.4%","7.04","5.82","5.55","0.0","13761"
"Brett Martin","Rangers","0","1","0","2","2","1.2","16.20","10.80","0.00",".714","37.5%","57.1%","0.0%","27.00","5.01","5.01","0.0","17369"
"David Phelps","Blue Jays","0","0","0","1","1","1.0","9.00","9.00","0.00",".000","100.0%","100.0%","0.0%","0.00","4.21","4.21","0.0","6316"
"Buddy Boshers","Blue Jays","0","0","0","1","1","1.0","9.00","9.00","0.00",".000","100.0%","0.0%","0.0%","0.00","4.21","8.19","0.0","8490"
"Trey Wingenter","Padres","0","0","0","1","1","1.1","13.50","13.50","0.00",".333","0.0%","66.7%","0.0%","20.25","4.71","6.21","0.0","17793"
"Thomas Pannone","Blue Jays","0","5","0","7","7","24.2","8.76","3.28","2.19",".346","33.7%","27.7%","15.0%","11.31","5.77","5.83","0.0","17281"
"Josh Taylor","Red Sox","0","0","0","1","1","1.0","18.00","18.00","0.00",".500","100.0%","0.0%","0.0%","0.00","5.21","7.20","0.0","17359"
"Jeremy Hellickson","Nationals","2","3","0","8","8","37.0","7.30","4.86","1.95",".313","66.9%","39.3%","17.0%","6.08","6.11","5.82","0.0","4371"
"Chris Flexen","Mets","0","1","0","1","1","4.1","0.00","8.31","0.00",".350","45.5%","25.0%","0.0%","10.38","5.98","9.20","0.0","13896"
"Montana DuRapau","Pirates","0","1","0","2","2","2.2","16.88","6.75","3.38",".500","65.2%","42.9%","50.0%","10.13","6.59","3.21","0.0","16768"
"Jose Alvarez","Phillies","0","0","0","1","1","2.0","0.00","9.00","0.00",".143","100.0%","57.1%","0.0%","0.00","6.21","7.21","0.0","5358"
"Nick Kingham","Pirates","0","1","0","4","4","15.2","9.19","4.02","2.30",".423","58.4%","30.2%","16.7%","9.77","5.83","5.56","0.0","11694"
"Ryan Feierabend","Blue Jays","0","1","0","1","1","4.0","4.50","2.25","2.25",".375","60.6%","52.9%","16.7%","9.00","6.21","5.95","0.0","6336"
"Reggie McClain","Mariners","0","0","0","2","2","3.0","0.00","9.00","0.00",".429","55.6%","64.3%","0.0%","12.00","6.21","6.21","0.0","19311"
"Hector Rondon","Astros","0","1","0","1","1","0.2","13.50","13.50","0.00",".833","14.3%","50.0%","0.0%","81.00","9.21","12.20","0.0","2391"
"Tyson Ross","Tigers","1","5","0","7","7","35.1","6.37","4.58","1.78",".306","63.8%","51.3%","22.6%","6.11","5.99","5.16","0.0","7872"
"Garrett Richards","Padres","0","1","0","3","3","8.2","11.42","6.23","2.08",".364","60.6%","43.5%","28.6%","8.31","5.75","4.36","0.0","9784"
"Emmanuel Clase","Rangers","0","0","0","1","1","1.0","0.00","18.00","0.00",".333","100.0%","33.3%","0.0%","0.00","9.21","13.19","0.0","21032"
"Gerson Bautista","Mariners","0","1","0","2","2","2.0","9.00","18.00","0.00",".500","62.5%","12.5%","0.0%","13.50","7.21","9.20","0.0","19256"
"Ronald Bolanos","Padres","0","2","0","3","3","14.2","7.98","6.75","1.23",".268","63.1%","42.9%","18.2%","6.75","5.67","5.39","0.0","20041"
"Framber Valdez","Astros","2","4","0","8","8","35.2","9.84","5.80","1.77",".323","66.4%","70.6%","58.3%","7.07","5.77","3.88","0.0","17295"
"Cody Stashak","Twins","0","0","0","1","1","2.0","9.00","0.00","4.50",".200","100.0%","16.7%","20.0%","4.50","7.71","6.19","0.0","18088"
"Carson Fulmer","White Sox","0","1","0","2","2","3.0","12.00","9.00","3.00",".375","35.7%","44.4%","33.3%","12.00","7.88","5.54","0.0","18311"
"Nick Tropeano","Angels","0","1","0","1","1","5.0","5.40","5.40","1.80",".294","34.9%","27.8%","10.0%","12.60","7.01","8.39","0.0","12385"
"Johnny Cueto","Giants","1","2","0","4","4","16.0","7.31","5.06","1.69",".190","69.6%","53.5%","23.1%","5.06","5.71","4.89","0.0","6893"
"Jimmy Nelson","Brewers","0","2","0","3","3","12.0","9.75","7.50","1.50",".378","53.7%","33.3%","15.4%","9.75","5.96","5.95","-0.1","10547"
"Richard Bleier","Orioles","0","0","0","1","1","2.0","4.50","0.00","4.50",".286","62.5%","75.0%","100.0%","9.00","8.71","3.21","-0.1","7803"
"Tayler Scott","Mariners","0","0","0","2","2","1.1","6.75","27.00","0.00",".400","33.3%","40.0%","0.0%","27.00","10.71","13.70","-0.1","13652"
"Touki Toussaint","Braves","0","0","0","1","1","1.1","13.50","6.75","0.00",".750","30.0%","50.0%","0.0%","47.25","9.21","10.71","-0.1","16929"
"Josh A. Smith","Red Sox","0","2","0","2","2","7.1","7.36","3.68","2.45",".435","60.6%","12.5%","18.2%","9.82","6.76","6.20","-0.1","10946"
"Luis Garcia","Angels","0","0","0","2","2","2.0","4.50","0.00","4.50",".200","100.0%","66.7%","100.0%","4.50","8.71","3.21","-0.1","6984"
"Zac Reininger","Tigers","0","1","0","1","1","2.0","9.00","4.50","4.50",".500","43.5%","44.4%","33.3%","18.00","9.21","5.70","-0.1","15285"
"Joakim Soria","Athletics","0","0","0","1","1","1.0","18.00","0.00","9.00",".500","100.0%","66.7%","100.0%","9.00","12.21","1.20","-0.1","6941"
"Kyle Dowdy","Rangers","0","0","0","1","1","3.0","6.00","9.00","3.00",".300","71.4%","18.2%","16.7%","9.00","9.21","8.86","-0.1","19285"
"Yefry Ramirez","Orioles","0","1","0","1","1","3.1","8.10","10.80","2.70",".455","58.1%","27.3%","20.0%","10.80","8.91","8.00","-0.1","15655"
"Genesis Cabrera","Cardinals","0","2","0","2","2","8.1","5.40","4.32","2.16",".344","56.3%","30.3%","14.3%","6.48","6.57","6.80","-0.1","17490"
"Jimmy Yacabonis","Orioles","0","1","0","4","4","7.2","4.70","5.87","2.35",".250","68.6%","53.8%","20.0%","7.04","7.52","6.72","-0.1","15157"
"Lewis Thorpe","Twins","0","1","0","2","2","8.2","13.50","6.23","3.12",".500","79.7%","38.1%","42.9%","7.27","6.79","3.90","-0.1","15906"
"Enyel De Los Santos","Phillies","0","1","0","1","1","4.0","4.50","6.75","2.25",".500","69.8%","33.3%","33.3%","9.00","7.71","5.96","-0.1","18403"
"Jhoulys Chacin","- - -","3","12","0","24","24","102.1","8.88","3.96","2.20",".310","70.8%","37.9%","21.0%","6.07","5.88","5.02","-0.1","2608"
"Alex McRae","Pirates","0","1","0","2","2","6.1","1.42","5.68","1.42",".320","34.5%","38.5%","11.1%","9.95","6.85","7.62","-0.1","16317"
"Brock Burke","Rangers","0","2","0","6","6","26.2","4.73","3.71","2.03",".276","60.7%","50.0%","20.7%","7.43","6.55","5.79","-0.1","17968"
"Jose Alvarado","Rays","0","1","0","1","1","0.1","0.00","81.00","0.00",".500","75.0%","100.0%","0.0%","27.00","30.21","30.21","-0.1","17780"
"Derek Law","Blue Jays","0","0","0","4","4","4.0","4.50","6.75","2.25",".286","45.5%","60.0%","25.0%","11.25","7.71","6.45","-0.1","13133"
"Blake Parker","Phillies","0","1","0","2","2","3.0","12.00","0.00","6.00",".167","0.0%","12.5%","40.0%","9.00","9.21","3.86","-0.1","5224"
"Paul Blackburn","Athletics","0","1","0","1","1","3.0","12.00","9.00","3.00",".444","52.6%","33.3%","33.3%","15.00","8.88","6.54","-0.1","14739"
"Taylor Hearn","Rangers","0","1","0","1","1","0.1","0.00","108.00","0.00",".750","28.6%","50.0%","0.0%","108.00","39.21","45.18","-0.1","18325"
"Caleb Ferguson","Dodgers","0","1","0","2","2","4.1","6.23","8.31","2.08",".231","90.9%","42.9%","20.0%","4.15","7.60","6.89","-0.1","19349"
"Cory Gearrin","Mariners","0","1","0","2","2","2.0","9.00","9.00","4.50",".200","0.0%","50.0%","50.0%","18.00","10.71","6.20","-0.1","7947"
"Dylan Covey","White Sox","1","7","0","12","12","49.0","6.61","4.59","2.02",".321","55.2%","39.6%","20.0%","8.45","6.19","5.51","-0.1","14825"
"Odrisamer Despaigne","White Sox","0","2","0","3","3","13.1","4.73","4.73","2.03",".420","64.8%","26.4%","14.3%","9.45","6.89","7.10","-0.1","16017"
"Ryan Tepera","Blue Jays","0","0","0","1","1","1.0","0.00","9.00","9.00",".250","62.5%","0.0%","25.0%","18.00","19.21","14.17","-0.1","10291"
"Dario Agrazal","Pirates","4","5","0","14","14","71.1","5.05","2.27","1.89",".289","75.3%","39.9%","15.6%","5.05","6.00","5.95","-0.1","15821"
"Nick Vincent","Giants","0","1","0","1","1","1.0","0.00","0.00","9.00",".500","38.5%","14.3%","16.7%","27.00","16.21","15.15","-0.1","7555"
"Austin Adams","Mariners","0","0","0","2","2","1.2","10.80","10.80","5.40",".500","55.6%","40.0%","100.0%","16.20","12.21","5.61","-0.1","13801"
"Bryse Wilson","Braves","1","1","0","4","4","17.2","7.64","5.09","2.04",".340","60.6%","32.7%","17.4%","7.13","6.16","5.80","-0.1","19990"
"Andrew Moore","Mariners","0","0","0","1","1","4.2","3.86","1.93","3.86",".267","71.4%","17.6%","18.2%","7.71","8.57","7.69","-0.1","17553"
"Felix Hernandez","Mariners","1","8","0","15","15","71.2","7.16","3.14","2.13",".309","62.9%","48.1%","21.0%","6.40","6.00","5.17","-0.1","4772"
"Robert Dugger","Marlins","0","4","0","7","7","34.1","6.55","4.46","1.57",".262","62.2%","38.9%","14.0%","5.77","5.95","6.17","-0.1","19191"
"Matt Carasiti","Mariners","0","1","0","5","5","4.1","10.38","4.15","4.15",".500","61.0%","50.0%","33.3%","10.38","8.29","5.05","-0.1","13276"
"Ty Blach","Orioles","1","3","0","5","5","20.2","7.40","5.66","2.61",".388","49.2%","35.6%","22.2%","11.32","7.23","6.05","-0.1","14361"
"Jacob Barnes","Brewers","0","0","0","1","1","1.0","27.00","27.00","9.00","1.000","55.6%","50.0%","100.0%","27.00","19.21","8.20","-0.1","12323"
"Kyle McGowin","Nationals","0","0","0","1","1","4.0","4.50","2.25","4.50",".267","47.6%","52.9%","33.3%","11.25","9.46","5.95","-0.1","15071"
"Shelby Miller","Rangers","1","3","0","8","8","29.1","6.14","7.06","1.53",".337","56.1%","38.7%","12.2%","9.51","6.62","7.19","-0.1","10197"
"Nick Margevicius","Padres","2","6","0","12","12","53.1","6.41","2.87","2.03",".316","65.5%","42.5%","21.1%","6.41","5.84","5.04","-0.1","20395"
"Michael Feliz","Pirates","0","1","0","1","1","0.1","0.00","27.00","27.00",".750","0.0%","0.0%","50.0%","135.00","51.21","24.15","-0.1","11903"
"Pedro Payano","Rangers","0","2","0","4","4","16.0","5.63","7.31","1.69",".370","64.0%","50.0%","21.4%","7.31","7.03","6.33","-0.2","18313"
"Ryan Borucki","Blue Jays","0","1","0","2","2","6.2","8.10","8.10","2.70",".500","60.4%","39.3%","16.7%","10.80","8.01","7.69","-0.2","16350"
"Rookie Davis","Pirates","0","1","0","1","1","3.0","6.00","15.00","3.00",".300","79.0%","30.0%","33.3%","9.00","11.21","8.87","-0.2","14962"
"James Marvel","Pirates","0","3","0","4","4","17.1","4.67","3.12","2.08",".333","62.0%","52.3%","23.5%","8.31","6.56","5.51","-0.2","19675"
"Gregory Soto","Tigers","0","3","0","7","7","23.1","6.17","4.63","2.31",".313","60.7%","40.0%","16.7%","8.49","6.73","6.45","-0.2","19677"
"Kohl Stewart","Twins","1","1","0","2","2","12.0","2.25","3.75","2.25",".268","74.3%","55.8%","27.3%","6.00","7.21","5.79","-0.2","15502"
"Marco Estrada","Athletics","0","2","0","5","5","23.2","4.18","3.04","2.66",".208","62.0%","19.3%","12.7%","6.85","7.52","8.30","-0.2","1118"
"Cody Anderson","Indians","0","1","0","2","2","3.2","9.82","14.73","2.45",".364","56.6%","16.7%","16.7%","14.73","10.30","10.01","-0.2","12799"
"Clayton Richard","Blue Jays","1","5","0","10","10","45.1","4.37","3.57","1.79",".297","67.3%","55.8%","24.3%","5.96","6.28","5.32","-0.2","3551"
"Sean Gilmartin","Orioles","0","1","0","1","1","2.1","3.86","7.71","7.71",".455","64.5%","30.8%","25.0%","19.29","16.07","11.75","-0.2","12781"
"Alex Wood","Reds","1","3","0","7","7","35.2","7.57","2.27","2.78",".294","73.0%","38.2%","29.7%","5.80","6.38","4.44","-0.2","13781"
"Jose Rodriguez","Angels","0","1","0","1","1","2.0","4.50","4.50","9.00",".286","90.9%","33.3%","50.0%","13.50","16.71","7.69","-0.2","17860"
"Danny Salazar","Indians","0","1","0","1","1","4.0","4.50","6.75","4.50",".200","100.0%","41.7%","33.3%","4.50","10.96","7.45","-0.2","5867"
"Jalen Beeks","Rays","0","2","0","3","3","12.1","8.76","4.38","2.92",".415","56.1%","48.9%","28.6%","10.95","6.94","4.99","-0.2","17192"
"Luis Ortiz","Orioles","0","1","0","1","1","3.1","8.10","13.50","5.40",".250","80.7%","30.0%","40.0%","10.80","13.71","8.90","-0.2","16942"
"Chandler Shepherd","Orioles","0","0","0","3","3","12.0","9.00","2.25","3.75",".323","61.5%","33.3%","29.4%","8.25","7.88","5.28","-0.2","16166"
"Adbert Alzolay","Cubs","0","1","0","2","2","7.1","8.59","6.14","3.68",".348","70.3%","30.8%","30.0%","9.82","9.08","6.47","-0.2","17859"
"Tim Melville","Rockies","2","3","0","7","7","33.1","6.48","3.78","2.43",".263","85.2%","43.0%","25.0%","4.86","6.63","5.27","-0.2","9149"
"Tom Eshelman","Orioles","0","2","0","4","4","18.1","7.36","2.95","3.44",".304","54.5%","28.6%","26.9%","7.36","7.52","5.38","-0.2","18361"
"Conner Menez","Giants","0","1","0","3","3","12.2","9.95","5.68","2.84",".250","67.2%","30.0%","26.7%","7.11","7.00","5.25","-0.2","19199"
"Eric Skoglund","Royals","0","3","0","4","4","16.0","1.69","4.50","2.25",".306","60.6%","37.9%","14.3%","9.00","7.78","8.01","-0.2","16155"
"Andrew Suarez","Giants","0","2","0","2","2","10.0","6.30","6.30","2.70",".313","50.6%","34.3%","27.3%","9.00","7.81","6.10","-0.2","18300"
"Heath Fillmyer","Royals","0","1","0","3","3","12.0","5.25","3.75","3.00",".326","56.7%","40.4%","23.5%","10.50","8.13","6.62","-0.2","17466"
"Drew Pomeranz","- - -","2","9","0","18","18","75.1","10.39","4.30","2.15",".348","74.2%","36.4%","21.4%","5.97","5.60","4.72","-0.3","11426"
"Rico Garcia","Rockies","0","1","0","1","1","5.0","3.60","9.00","5.40",".267","76.9%","47.1%","42.9%","10.80","13.21","8.20","-0.3","20023"
"Erik Swanson","Mariners","1","5","0","8","8","33.1","6.75","1.35","3.24",".257","44.1%","32.2%","23.1%","7.56","6.84","5.27","-0.3","16587"
"Edinson Volquez","Rangers","0","1","0","4","4","9.1","5.79","9.64","2.89",".394","64.2%","44.4%","30.0%","11.57","9.32","7.27","-0.3","3990"
"Matt Harvey","Angels","3","5","0","12","12","59.2","5.88","4.37","1.96",".275","61.2%","42.8%","22.4%","7.09","6.35","5.45","-0.3","11713"
"Wade LeBlanc","Mariners","2","4","0","8","8","36.2","7.36","2.21","2.95",".370","62.5%","35.3%","21.4%","8.35","6.57","5.35","-0.3","5221"
"Kyle Wright","Braves","0","3","0","4","4","16.2","7.56","7.02","2.16",".360","59.2%","39.6%","23.5%","9.72","7.17","6.08","-0.3","19665"
"Stephen Tarpley","Yankees","0","0","0","1","1","1.0","0.00","0.00","27.00",".250","100.0%","28.6%","60.0%","36.00","42.21","13.16","-0.3","15859"
"Tyler Anderson","Rockies","0","3","0","5","5","20.2","10.02","4.79","3.48",".391","51.8%","41.4%","34.8%","11.76","7.62","4.80","-0.3","12880"
"Ross Detwiler","White Sox","3","5","0","12","12","57.0","6.00","3.47","2.37",".284","73.9%","46.5%","20.3%","5.84","6.62","5.78","-0.3","2859"
"Jerad Eickhoff","Phillies","3","4","0","10","10","53.1","7.43","2.87","2.70",".234","79.0%","34.9%","22.2%","5.40","6.53","5.32","-0.3","12664"
"Dillon Peters","Angels","3","4","0","12","12","55.2","6.79","3.72","2.26",".303","68.6%","38.5%","19.7%","5.82","6.43","5.70","-0.4","18790"
"Taylor Clarke","Diamondbacks","4","4","0","15","15","64.1","7.13","3.36","2.24",".295","69.1%","39.8%","18.8%","5.88","6.21","5.61","-0.4","17611"
"Hector Noesi","Marlins","0","3","0","4","4","18.1","7.36","5.89","2.95",".264","40.7%","35.1%","22.2%","11.29","7.96","6.63","-0.4","3292"
"Ryan Carpenter","Tigers","1","6","0","9","9","40.2","5.53","2.88","2.66",".338","50.7%","35.3%","19.4%","9.30","6.93","6.12","-0.4","12699"
"Ervin Santana","White Sox","0","2","0","3","3","13.1","3.38","4.05","4.05",".277","66.3%","32.1%","20.0%","9.45","9.66","8.29","-0.4","3200"
"Jaime Barria","Angels","2","7","0","13","13","60.1","8.35","2.83","2.83",".239","75.9%","33.9%","21.6%","5.52","6.45","5.25","-0.4","18356"
"Jeff Hoffman","Rockies","2","6","0","15","15","70.0","8.74","4.37","2.70",".298","74.8%","35.1%","23.6%","6.56","6.80","5.43","-0.4","17432"
"Glenn Sparkman","Royals","4","10","0","23","23","118.1","5.32","2.66","2.13",".292","65.3%","37.4%","16.5%","6.31","6.10","5.88","-0.4","15200"
"Manny Banuelos","White Sox","2","4","0","8","8","34.2","8.31","5.45","2.86",".356","70.9%","30.3%","22.9%","8.05","7.40","6.03","-0.4","5365"
"Dereck Rodriguez","Giants","5","10","0","16","16","78.1","6.43","3.33","2.07",".276","62.4%","42.7%","20.5%","5.40","5.92","5.17","-0.5","14509"
"Jose Suarez","Angels","2","6","0","15","15","67.0","8.06","3.49","2.55",".316","69.0%","36.1%","20.7%","6.85","6.68","5.72","-0.5","19911"
"Jorge Lopez","Royals","3","8","0","18","18","86.1","7.40","3.23","2.19",".304","65.7%","44.5%","22.1%","6.57","6.16","5.18","-0.5","14527"
