"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Tyler Glasnow","Rays","6","1","0","12","12","60.2","11.27","2.08","0.59",".265","84.7%","50.4%","8.5%","1.78","2.26","2.94","2.3","14374"
"Sandy Alcantara","Marlins","6","14","0","32","32","197.1","6.89","3.69","1.05",".271","73.8%","44.6%","10.8%","3.88","4.55","5.17","2.3","18684"
"Kenta Maeda","Dodgers","8","8","0","26","26","137.0","9.66","3.09","1.25",".249","71.1%","40.7%","13.9%","4.14","3.99","4.17","2.3","18498"
"Reynaldo Lopez","White Sox","10","15","0","33","33","184.0","8.27","3.18","1.71",".316","69.2%","35.0%","14.0%","5.38","5.04","5.27","2.3","16400"
"Eric Lauer","Padres","8","10","0","29","29","148.1","8.31","3.09","1.21",".314","70.7%","39.3%","11.7%","4.49","4.25","4.79","2.2","19316"
"Brad Keller","Royals","7","14","0","28","28","165.1","6.64","3.81","0.82",".282","72.2%","50.0%","10.2%","4.19","4.35","4.94","2.2","15734"
"Adam Wainwright","Cardinals","14","10","0","31","31","171.2","8.02","3.36","1.15",".319","76.5%","48.8%","15.0%","4.19","4.36","4.39","2.2","2233"
"Joey Lucchesi","Padres","10","10","0","30","30","163.2","8.69","3.08","1.26",".271","73.0%","47.0%","13.9%","4.18","4.17","4.36","2.1","19320"
"Daniel Norris","Tigers","3","13","0","29","29","136.0","8.01","2.32","1.46",".310","73.4%","42.5%","15.1%","4.50","4.40","4.43","2.1","13475"
"Merrill Kelly","Diamondbacks","13","14","0","32","32","183.1","7.76","2.80","1.42",".292","73.1%","42.0%","14.8%","4.42","4.51","4.58","2.0","11156"
"Chris Bassitt","Athletics","10","5","0","25","25","139.0","8.55","2.91","1.36",".269","75.9%","41.3%","14.0%","3.95","4.51","4.69","2.0","12304"
"Ivan Nova","White Sox","11","12","0","34","34","187.0","5.49","2.26","1.44",".322","72.8%","46.1%","15.8%","4.72","4.98","4.91","2.0","1994"
"Brett Anderson","Athletics","13","9","0","31","31","176.0","4.60","2.51","1.02",".278","74.8%","54.5%","13.3%","3.89","4.57","4.79","2.0","8223"
"Wade Miley","Astros","14","6","0","33","33","167.1","7.53","3.28","1.24",".287","74.3%","49.7%","15.2%","3.98","4.51","4.52","2.0","8779"
"Tanner Roark","- - -","10","10","0","31","31","165.1","8.60","2.78","1.52",".322","78.1%","36.2%","15.5%","4.35","4.67","4.64","1.9","8753"
"Ryan Yarbrough","Rays","3","5","0","14","14","85.2","7.46","1.16","0.95",".266","61.7%","44.5%","10.1%","4.31","3.59","4.29","1.9","16502"
"Luke Weaver","Diamondbacks","4","3","0","12","12","64.1","9.65","1.96","0.84",".292","78.6%","40.7%","9.2%","2.94","3.07","3.87","1.8","16918"
"Tyler Skaggs","Angels","7","7","0","15","15","79.2","8.81","3.16","1.02",".294","68.6%","37.1%","11.4%","4.29","3.85","4.36","1.8","10190"
"Jason Vargas","- - -","7","9","0","29","29","148.2","7.45","3.81","1.21",".272","70.8%","38.6%","10.9%","4.30","4.70","5.41","1.8","8044"
"Martin Perez","Twins","9","7","0","29","29","157.0","7.05","3.32","1.32",".309","68.4%","47.9%","15.6%","4.99","4.72","4.68","1.8","6902"
"Rick Porcello","Red Sox","14","12","0","32","32","174.1","7.38","2.32","1.60",".308","65.7%","38.1%","13.1%","5.52","4.76","5.14","1.8","2717"
"Mike Fiers","Athletics","15","4","0","33","33","184.2","6.14","2.58","1.46",".254","78.5%","39.9%","13.8%","3.90","4.97","5.19","1.7","7754"
"Steven Matz","Mets","11","10","0","30","30","159.1","8.64","2.94","1.53",".298","75.1%","46.9%","17.4%","4.24","4.61","4.34","1.6","13361"
"Yonny Chirinos","Rays","6","5","0","18","18","104.1","7.94","1.98","1.38",".250","76.5%","45.2%","17.4%","3.54","4.13","3.89","1.6","16401"
